username,repo_name,stars,repo_url
localstack,localstack,52000,https://github.com/localstack/localstack
harness,gitness,31400,https://github.com/harness/gitness
jenkinsci,jenkins,22300,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,13200,https://github.com/auchenberg/volkswagen
dagger,dagger,10200,https://github.com/dagger/dagger
milanm,DevOps-Roadmap,9400,https://github.com/milanm/DevOps-Roadmap
openshift,origin,8400,https://github.com/openshift/origin
concourse,concourse,7200,https://github.com/concourse/concourse
gocd,gocd,7000,https://github.com/gocd/gocd
buildbot,buildbot,5200,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5200,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4500,https://github.com/jenkins-x/jx
ovh,cds,4400,https://github.com/ovh/cds
Flagsmith,flagsmith,4200,https://github.com/Flagsmith/flagsmith
JamesIves,github-pages-deploy-action,4100,https://github.com/JamesIves/github-pages-deploy-action
TheLartians,ModernCppStarter,4000,https://github.com/TheLartians/ModernCppStarter
iterative,cml,3900,https://github.com/iterative/cml
werf,werf,3900,https://github.com/werf/werf
xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
